order_id,order_date,order_time,year,month,month_name,quarter,day_ofweek,customer_id,customer_name,customer_type,customer_city,customer_country,contact_email,contact_phone,product_id,product_name,product_code,product_category,product_sub_category,product_description,order_quantity,unit_price,total_price,delivery_date,delivery_location,factory_id,factory_name,factory_location,factory_city,factory_country,factory_capacity,assembly_line_id,assembly_line_name,line_type,line_capacity,current_load,scheduled_start_date,actual_start_date,scheduled_end_date,actual_end_date,production_status,completion_percent,quality_score,defects,rework_required,scheduled_delivery,actual_delivery,delivery_status,delay_days,note
ORD00000001,02-05-2024,09:41,2024,4,April,Q2,Tuesday,CUST000002,Customer 2,Distributor,Delhi,India,customer2@company.com,9745431012,PROD000002,Product 2,PC899989,Automotive,Engines,High-quality Product 2,531,3933.16,2088507.96,22-10-2024,"Delhi, 110684",FAC02,Factory 2,Plant 2,Delhi,India,435828,LINE002,Assembly Line 2,Welding,10983,19675,07-08-2024,25-06-2024,09-07-2024,11-01-2024,In Progress,88,77.64,34,Yes,14-03-2024,24-05-2024,Shipped,4,Order ORD00000001 - Quality issues detected
ORD00000002,2024-12-28,11:17,2024,11,November,Q4,Wednesday,CUST000003,Customer 3,Retailer,Bangalore,India,customer3@company.com,9428426893,PROD000003,Product 3,PC382366,Machinery,Pumps,High-quality Product 3,705,952.16,671272.8,2024-03-15,"Bangalore, 757410",FAC03,Factory 3,Plant 3,Bangalore,India,384318,LINE003,Assembly Line 3,Painting,26925,6557,2024-07-21,2024-09-06,2024-12-18,null,Completed,0,91.77,40,Yes,2024-07-28,null,In Transit,20,Order ORD00000002 - Production running smoothly
ORD00000003,2024-12-05,13:56,2024,5,May,Q2,Thursday,CUST000004,Customer 4,Corporate,Pune,India,customer4@company.com,9706949154,PROD000004,Product 4,PC189743,Consumer Goods,Appliances,High-quality Product 4,53,4588.68,243200.04,2024-04-24,"Pune, 340982",FAC04,Factory 4,Plant 4,Pune,India,363094,LINE004,Assembly Line 4,Packaging,17033,37415,2024-10-04,2024-02-25,2024-04-18,2024-10-23,On Hold,81,70.96,41,Yes,2024-09-08,2024-01-12,Delivered,12,Order ORD00000003 - Quality issues detected
ORD00000004,2024-02-25,16:31,2024,9,September,Q3,Friday,CUST000005,Customer 5,Individual,Hyderabad,India,customer5@company.com,9636623666,PROD000005,Product 5,PC492909,Industrial Equipment,Motors,High-quality Product 5,610,351.92,214671.2,2024-10-10,"Hyderabad, 811238",FAC05,Factory 5,Plant 5,Hyderabad,India,194079,LINE005,Assembly Line 5,Testing,35598,31314,2024-03-10,2024-02-27,2024-07-18,null,Cancelled,60,77.01,27,Yes,2024-08-01,2024-11-17,Delayed,8,Order ORD00000004 - Quality issues detected
ORD00000005,2024-08-11,14:02,2024,9,September,Q3,Saturday,CUST000006,Customer 6,OEM,Chennai,India,customer6@company.com,9918727716,PROD000006,Product 6,PC377522,Electronics,Controllers,High-quality Product 6,213,4883.82,1040253.66,2024-03-15,"Chennai, 504489",FAC06,Factory 6,Plant 6,Chennai,India,880059,LINE006,Assembly Line 6,Assembly,36775,28350,2024-06-05,2024-07-28,2024-11-08,2024-08-01,Planned,1,71.12,35,Yes,2024-12-12,2024-12-06,Pending,-3,Order ORD00000005 - Quality issues detected
ORD00000006,2024-06-13,12:21,2024,7,JULYY,Q3,Sunday,CUST000007,Customer 7,Distributor,Kolkata,India,customer7@company.com,9926524847,PROD000007,Product 7,PC334892,Automotive,Engines,High-quality Product 7,512,4196.05,2148377.6,2024-04-08,"Kolkata, 378485",FAC07,Factory 7,Plant 7,Kolkata,India,108835,LINE007,Assembly Line 7,Welding,42620,18792,2024-06-04,2024-02-24,2024-11-18,2024-06-24,In Progress,43,99.68,26,Yes,2024-07-14,2024-07-04,Shipped,3,Order ORD00000006 - Production running smoothly
ORD00000007,2024-10-03,16:46,2024,3,March,Q1,Monday,CUST000008,Customer 8,Retailer,Jaipur,India,customer8@company.com,9457628274,PROD000008,Product 8,PC539740,Machinery,Pumps,High-quality Product 8,111,772.55,85753.05,2024-03-14,"Jaipur, 560904",FAC08,Factory 8,Plant 8,Jaipur,India,584062,LINE008,Assembly Line 8,Painting,37415,13746,2024-04-14,2024-02-08,2024-06-02,null,Completed,49,99.45,22,Yes,2024-07-19,2024-12-17,In Transit,-1,Order ORD00000007 - Production running smoothly
ORD00000008,2024-06-05,17:57,2024,9,September,Q3,Tuesday,CUST000009,Customer 9,Corporate,Mumbai,India,customer9@company.com,9885350861,PROD000009,Product 9,PC358647,Consumer Goods,Appliances,High-quality Product 9,883,1230.23,1086293.09,2024-05-03,"Mumbai, 298287",FAC01,Factory 1,Plant 1,Mumbai,India,909862,LINE009,Assembly Line 9,Packaging,30347,36739,2024-09-04,2024-11-18,2024-05-05,2024-10-01,On Hold,96,93.87,15,Yes,2024-01-26,null,Delivered,3,Order ORD00000008 - Production running smoothly
ORD00000009,2024-02-17,10:45,2024,9,September,Q3,Wednesday,CUST000010,Customer 10,Individual,Delhi,India,customer10@company.com,9418328730,PROD000010,Product 10,PC644905,Industrial Equipment,Motors,High-quality Product 10,667,1555.69,1037645.23,2024-12-27,"Delhi, 220195",FAC02,Factory 2,Plant 2,Delhi,India,984783,LINE010,Assembly Line 10,Testing,45061,25261,2024-04-18,2024-09-24,2024-07-28,2024-08-02,Cancelled,73,95.55,36,Yes,2024-12-17,2024-12-08,Delayed,16,Order ORD00000009 - Production running smoothly
ORD00000010,2024-03-21,11:28,2024,2,February,Q1,Thursday,CUST000011,Customer 11,OEM,Bangalore,India,customer11@company.com,9844596929,PROD000011,Product 11,PC304164,Electronics,Controllers,High-quality Product 11,102,3393.39,346125.78,2024-06-24,"Bangalore, 905977",FAC03,Factory 3,Plant 3,Bangalore,India,672460,LINE011,Assembly Line 11,Assembly,28286,28918,2024-05-19,2024-09-04,2024-08-04,2024-11-22,Planned,11,94.32,50,Yes,2024-04-28,2024-09-08,Pending,8,Order ORD00000010 - Production running smoothly
ORD00000011,2024-09-17,08:04,2024,9,September,Q3,Friday,CUST000012,Customer 12,Distributor,Pune,India,customer12@company.com,9150449868,PROD000012,Product 12,PC686757,Automotive,Engines,High-quality Product 12,178,2999.95,533991.1,2024-09-23,"Pune, 238168",FAC04,Factory 4,Plant 4,Pune,India,189295,LINE012,Assembly Line 12,Welding,29296,20008,2024-03-18,2024-07-06,2024-02-02,null,In Progress,89,87.93,21,Yes,2024-12-10,2024-02-26,Shipped,7,Order ORD00000011 - Production running smoothly
ORD00000012,2024-10-23,17:22,2024,6,June,Q2,Saturday,CUST000013,Customer 13,Retailer,Hyderabad,India,customer13@company.com,9658140699,PROD000013,Product 13,PC306935,Machinery,Pumps,High-quality Product 13,221,2678.46,591939.66,2024-08-17,"Hyderabad, 473542",FAC05,Factory 5,Plant 5,Hyderabad,India,555124,LINE013,Assembly Line 13,Painting,1042,16363,2024-05-12,2024-01-05,2024-02-26,null,Completed,49,70.48,4,No,2024-01-28,2024-04-15,In Transit,20,Order ORD00000012 - Quality issues detected
ORD00000013,2024-01-07,15:28,2024,12,December,Q4,Sunday,CUST000014,Customer 14,Corporate,Chennai,India,customer14@company.com,9516197898,PROD000014,Product 14,PC631603,Consumer Goods,Appliances,High-quality Product 14,939,827.3,776834.7,2024-08-13,"Chennai, 976709",FAC06,Factory 6,Plant 6,Chennai,India,888530,LINE014,Assembly Line 14,Packaging,38781,24546,2024-11-14,2024-02-19,2024-04-19,2024-08-09,On Hold,9,80.46,16,Yes,2024-06-15,2024-04-11,Delivered,18,Order ORD00000013 - Quality issues detected
ORD00000014,2024-02-11,13:13,2024,1,January,Q1,Monday,CUST000015,Customer 15,Individual,Kolkata,India,customer15@company.com,9719806906,PROD000015,Product 15,PC619571,Industrial Equipment,Motors,High-quality Product 15,193,278.68,53785.24,2024-05-01,"Kolkata, 362778",FAC07,Factory 7,Plant 7,Kolkata,India,428149,LINE015,Assembly Line 15,Testing,8247,21497,2024-09-01,2024-08-28,2024-06-12,2024-12-04,Cancelled,70,84.81,13,Yes,2024-08-26,2024-02-27,Delayed,7,Order ORD00000014 - Quality issues detected
ORD00000015,2024-11-25,10:39,2024,12,December,Q4,Tuesday,CUST000016,Customer 16,OEM,Jaipur,India,customer16@company.com,9599757918,PROD000016,Product 16,PC216934,Electronics,Controllers,High-quality Product 16,414,3345.48,1385028.72,2024-07-16,"Jaipur, 260776",FAC08,Factory 8,Plant 8,Jaipur,India,429054,LINE016,Assembly Line 16,Assembly,10394,6986,2024-01-09,2024-02-12,2024-06-05,2024-07-16,Planned,86,92.18,21,Yes,2024-05-02,2024-12-24,Pending,5,Order ORD00000015 - Production running smoothly
ORD00000016,2024-11-04,09:37,2024,11,November,Q4,Wednesday,CUST000017,Customer 17,Distributor,Mumbai,India,customer17@company.com,9606653959,PROD000017,Product 17,PC249025,Automotive,Engines,High-quality Product 17,412,2124.13,875141.56,2024-07-20,"Mumbai, 993862",FAC01,Factory 1,Plant 1,Mumbai,India,171237,LINE017,Assembly Line 17,Welding,45245,34941,2024-12-14,2024-07-19,2024-02-05,2024-07-20,In Progress,28,82.69,21,Yes,2024-11-25,null,Shipped,3,Order ORD00000016 - Quality issues detected
